"candidate_id","candidate_group","path_1","symbol_1","path_2","symbol_2","current_status","formula_similarity","contract_similarity","scientific_contract","importer_count_1","importer_count_2","documentation_reference_count","risk_level","expected_benefit","recommended_action","required_regression_gates","recommended_timing","notes"
"RRC-011","csv_writer","scripts/lib/diagnostic_common.py","write_dict_rows_csv","scripts/analysis/thickness_mismatch/postprocess/analyze_eb_rule_ab_exact_pareto.py","write_csv","both are active","same DictWriter skeleton","different value formatting line terminator iteration and exact-result provenance","generic diagnostics versus immutable exact A/B/S evidence","3","1","5","medium","low","retain-separate","byte-for-byte CSV snapshots field order nonfinite bool JSON formatting newline and overwrite behavior","only-if-touched","Category similar-but-different-contract; the exact postprocessor intentionally emits formatted stable evidence."
"RRC-012","csv_writer_safe_prefix","scripts/analysis/thickness_mismatch/postprocess/analyze_eb_safe_prefix_certification.py","write_csv","scripts/analysis/thickness_mismatch/audits/audit_eb_epsilon_lower_envelope_step3a.py","write_csv","historical and closed workflows remain reproducible","same DictWriter and fmt family","Step-3A infers fields and emits a no_rows sentinel while certification requires fields","historical fold evidence versus counterexample and completeness provenance","6","1","6","medium","negligible","retain-separate","byte-for-byte historical outputs empty-row behavior inferred-field order and plot-only reproduction","only-if-touched","Category similar-but-different-contract; neither closed workflow should churn for a helper extraction."
"RRC-013","cli_definitions","scripts/analysis/thickness_mismatch/audits/audit_eb_timo_general_spectrum_completeness.py","parse_args","scripts/analysis/thickness_mismatch/audits/audit_eb_timo_branch_continuation_gateway.py","parse_args","general audit is superseded for the targeted gate; gateway is completed provenance","only a small set of option names overlaps","different defaults output isolation validations cache identities and algorithm-specific thresholds","general shifted-grid/SVD completeness versus branch-informed continuation gateway","1","1","5","medium","low","retain-separate","CLI help and defaults snapshots cache-key isolation smoke/plot-only behavior and each workflow's validation failures","only-if-touched","Category duplication-cheaper-than-abstraction; a parent parser would couple two historical quality contracts."
"RRC-014","cli_plot_modes","scripts/analysis/plot_mode_shapes_eta_beta_scan.py","parse_args","scripts/analysis/plot_mode_shapes_eta_beta_scan_sorted_modes.py","parse_args","both remain active diagnostics","many plotting arguments overlap","selection sign validation tracking output and schema contracts differ","descendant branch identity versus fixed sorted-index visualization","3","0","5","critical","low relative to branch and output risk","retain-separate","branch_id and sorted-index fixtures sign orientation filenames CSV schemas contact sheets smoke paths and low-MAC behavior","never-without-scientific-audit","Category scientifically-coupled-do-not-unify; the proposed selection=sorted|descendant CLI is not justified now."
"RRC-015","circular_section_model","scripts/lib/variable_length_timoshenko.py","section_from_epsilon_tau","scripts/analysis/compare_coupled_equal_rods_eb_timoshenko.py","section_from_epsilon","both remain diagnostic scientific code","same isotropic circle A I G and kappa formulas with tau=1 special case","different tau validation evolution and module-level Section identity","variable-length tau-aware Timoshenko versus older equal-rods diagnostic","16","1","4","high","small today and speculative for future anisotropy","retain-separate","isotropic values units eta-zero thin limit cutoff energy and all public dataclass properties","after-book","Category scientifically-coupled-do-not-unify; do not create RodEffectiveProperties before the physical model is known."
"RRC-016","compact_number_formatting","scripts/lib/diagnostic_common.py","number_text","scripts/analysis/thickness_mismatch/postprocess/analyze_eb_safe_prefix_certification.py","fmt","both remain active or preserved","both serialize scalar numbers","different precision nonfinite bool container JSON and return-type contracts","generic readable reports versus exact scientific CSV serialization","3","6","6","medium","none without changing evidence bytes","retain-separate","representative finite nonfinite bool string list dict and byte-for-byte CSV snapshots","only-if-touched","Category similar-but-different-contract; compact formatting is not one repository-wide policy."
"RRC-017","simple_scalar_grids","scripts/lib/diagnostic_common.py","inclusive_grid","scripts/analysis/plot_mode_shapes_eta_beta_scan.py","inclusive_grid","both remain active","same intended inclusive arange construction","validation messages and non-dividing-step behavior differ","generic diagnostic grid versus beta scan grid with no overshoot","3","3","3","medium","possible consistency only after choosing the intended contract","manual-review","tests for aligned and non-dividing steps endpoint inclusion overshoot rejection and every caller grid snapshot","only-if-touched","Category manual-review; for 0..1 step 0.6 the common helper returns [0,0.6,1,1.2] while the beta helper returns [0,0.6,1]."
"RRC-018","sign_helpers","src/my_project/analytic/formulas_thickness_mismatch.py","assemble_clamped_coupled_matrix_eta.<locals>.sgn","src/my_project/analytic/solvers.py","find_roots_scan_bisect.<locals>.sgn","exact three-way scalar sign expression","identical expression","local scope is part of frozen determinant/root implementations","determinant assembly branch handling versus baseline root scan","50","24","5","critical","none","retain-separate","determinant entry and root snapshots including exact-zero behavior","never-without-scientific-audit","Category duplication-cheaper-than-abstraction; extracting three lines would edit frozen mathematical code for no material benefit."
"RRC-019","bisection_brent_wrappers","scripts/analysis/check_mu_to_one_single_rod_limit.py","bisect_root","scripts/analysis/compare_analytic_fem_tracked_descendant_shape.py","root_bisect","both remain diagnostic","same midpoint refinement idea","generic callable versus fixed determinant; RuntimeError versus ValueError; endpoint and sign tests differ","single-rod limit reference roots versus local analytic/FEM shape root repair","0","1","4","critical","none","retain-separate","endpoint roots nonfinite brackets exception messages iteration snapshots and caller-specific root identities","never-without-scientific-audit","Category similar-but-different-contract; Brent and bisection wrappers are not interchangeable quality gates."
"RRC-020","svd_minima","scripts/lib/analytic_branch_tracking.py","smallest_singular_value_at_lambda","scripts/lib/general_spectrum_completeness.py","_sigma_candidate","both remain scientific infrastructure","both inspect or minimize smallest singular values","different row normalization acceptance ratios provenance counters and branch/completeness roles","local branch recovery versus full-spectrum candidate acceptance","10","9","4","critical","none","retain-separate","row-scaling synthetic valleys false minima close clusters multiplicity branch fixtures and K10 root-11 guards","never-without-scientific-audit","Category scientifically-coupled-do-not-unify; straight-factorized block SVD has a third distinct contract."
"RRC-021","local_global_geometry","scripts/lib/in_plane_shape_geometry.py","rod2_local_displacement_to_display","src/my_project/fem/python_fem.py","rotation_matrix_6x6","both are canonical in their domains","both contain beta rotations","display normals include theory-specific transverse signs while FEM maps element DOFs and energies","display-only determinant-field conversion versus production local-to-global FEM assembly","15","19","5","critical","none","retain-separate","display basis orthonormality EB/Timoshenko sign tests and FEM q_global T K M transform regressions","never-without-scientific-audit","Category scientifically-coupled-do-not-unify; visual geometry must not own production FEM transforms."
"RRC-022","plotting_utilities","scripts/analysis/plot_lambda_mu_thickness_mismatch_beta45_eta_p0p5_with_isolated_rods.py","plot_with_isolated_rods","scripts/analysis/plot_lambda_mu_thickness_mismatch_eta_p0p5_with_isolated_rods.py","plot_with_isolated_rods","older case-specific plotting paths remain","exact plotting clone in the inspected pair","different fixed beta output provenance; newer parameterized reference workflows exist","historical isolated-rod presentation workflows","0","0","4","medium","none before book","soft-archive","confirm external/article references and preserve old filenames; no spectrum rerun needed for status-only change","only-if-touched","Category historical-only; retain paths and stop extending them rather than extracting a new plotting framework."
"RRC-023","operation_counters","scripts/lib/general_spectrum_completeness.py","OperationCounts","scripts/lib/branch_informed_spectrum_continuation.py","BranchOperationCounts","both are preserved quality/provenance schemas","both are additive integer dataclasses","field vocabularies measure different primitives cache scopes and algorithm stages","general completeness accounting versus branch continuation accounting","9","7","2","high","none","retain-separate","deterministic count fixtures cache hit/miss scopes force-verification and benchmark CSV schema snapshots","never-without-scientific-audit","Category scientifically-coupled-do-not-unify; generic counters would erase the meaning of reported computational cost."
